FIELD_name,commercialName,trt,Not Applicable_YLD_N/A,30DAA_LDSR_PUCCSO,Application A_LDSR_PUCCSO,R3_LDSR_PUCCSO,R3_LDSR_SETOTU,R4_LDSR_PUCCSO,R4_LDSR_SETOTU,R5_LDSR_PUCCSO,R5_LDSR_SETOTU,V7_LDSR_SETOTU,R1_LDSR_SETOTU,R4_LDSR_PSDMAV,VT_LDSR_PUCCSO,R6_LDSR_PUCCSO,Not Applicable_LDSR_PUCCSO,Not Applicable_LDSR_SETOTU,V12_LDSR_PUCCSO
GGBLAN_BENGOLEA_ELORZA_LATE_GEO_FUNG22,AX7761VT3P,CHECK,86.6,0,0,,,,,,,,,,,,,,
GGBLAN_BENGOLEA_ELORZA_LATE_GEO_FUNG22,AX7761VT3P,CRIPTON_XPRO,83.5858205,0,0,,,,,,,,,,,,,,
GGBLAN_BENGOLEA_ELORZA_LATE_GEO_FUNG22,DK7210VT3P,CHECK,84.7,0,,,,0,0,,,,,0,,,,,
GGBLAN_BENGOLEA_ELORZA_LATE_GEO_FUNG22,DK7210VT3P,CRIPTON_XPRO,87.254343,0,0,,,,,,,,,,,,,,
GGBLAN_BENGOLEA_ELORZA_LATE_GEO_FUNG22,DK7272TRE,CHECK,89.41,0,0,,,,,,,,,,,,,,
GGBLAN_BENGOLEA_ELORZA_LATE_GEO_FUNG22,DK7272TRE,CRIPTON_XPRO,94.7815155,0,0,,,,,,,,,,,,,,
GGBLAN_ELENA_BUSILLI_EARLY_GEO_FFUNG22,AX7761VT3P,CHECK,,0,0,,,,,,,,,,,,,,
GGBLAN_ELENA_BUSILLI_EARLY_GEO_FFUNG22,AX7761VT3P,CRIPTON_XPRO,,0,0,,,,,,,,,,,,,,
GGBLAN_ELENA_BUSILLI_EARLY_GEO_FFUNG22,DK7210VT3P,CHECK,,0,0,,0,,,,,,,,,,,,
GGBLAN_ELENA_BUSILLI_EARLY_GEO_FFUNG22,DK7210VT3P,CRIPTON_XPRO,,0,0,,,,,,,,,,,,,,
GGBLAN_ELENA_BUSILLI_EARLY_GEO_FFUNG22,DK7272TRE,CHECK,,0,0,,,,,,,,,,,,,,
GGBLAN_ELENA_BUSILLI_EARLY_GEO_FFUNG22,DK7272TRE,CRIPTON_XPRO,,0,0,,,,,,,,,,,,,,
GLNQJ_TRENQUELAUQUEN_YARZA_EARLY_FFUNG22,AX7761VT3P,CHECK,94.47,1,1,,,,,,,,,,,,,,
GLNQJ_TRENQUELAUQUEN_YARZA_EARLY_FFUNG22,AX7761VT3P,CRIPTON_XPRO,101.778203,1,1,,,,,,,,,,,,,,
GLNQJ_TRENQUELAUQUEN_YARZA_EARLY_FFUNG22,DK7210VT3P,CHECK,108.98,1,,,,,1,,,,,,,,,,
GLNQJ_TRENQUELAUQUEN_YARZA_EARLY_FFUNG22,DK7210VT3P,CRIPTON_XPRO,113.821304,1,1,,,,,,,,,,,,,,
GLNQJ_TRENQUELAUQUEN_YARZA_EARLY_FFUNG22,DK7272TRE,CHECK,105.72,1,1,,,,,,,,,,,,,,
GLNQJ_TRENQUELAUQUEN_YARZA_EARLY_FFUNG22,DK7272TRE,CRIPTON_XPRO,107.168318,1,1,,,,,,,,,,,,,,
GLNQJ_TRENQUELAUQUEN_YARZA_LATE_FFUNG22,AX7761VT3P,CHECK,97.12,1,1,,,,,,,,,,,,,,
GLNQJ_TRENQUELAUQUEN_YARZA_LATE_FFUNG22,AX7761VT3P,CRIPTON_XPRO,108.357352,1,1,,,,,,,,,,,,,,
GLNQJ_TRENQUELAUQUEN_YARZA_LATE_FFUNG22,DK7210VT3P,CHECK,109.92,2,,,,,1,,,,,,,,,,
GLNQJ_TRENQUELAUQUEN_YARZA_LATE_FFUNG22,DK7210VT3P,CRIPTON_XPRO,112.98618,1,1,,,,,,,,,,,,,,
GLNQJ_TRENQUELAUQUEN_YARZA_LATE_FFUNG22,DK7272TRE,CHECK,115.81,2,1,,,,,,,,,,,,,,
GLNQJ_TRENQUELAUQUEN_YARZA_LATE_FFUNG22,DK7272TRE,CRIPTON_XPRO,122.133844,1,1,,,,,,,,,,,,,,
RLOPE1_AZUL_SCHANG_LATE_FFUNG22,AX7761VT3P,CHECK,83.36,0,0,,,,,,,,,,,,,,
RLOPE1_AZUL_SCHANG_LATE_FFUNG22,AX7761VT3P,CRIPTON_XPRO,71.238448,0,0,,,,,,,,,,,,,,
RLOPE1_AZUL_SCHANG_LATE_FFUNG22,DK7210VT3P,CHECK,111.14,0,0,,,,0,,,,,,,,,,
RLOPE1_AZUL_SCHANG_LATE_FFUNG22,DK7210VT3P,CRIPTON_XPRO,79.153391,0,0,,,,,,,,,,,,,,
RLOPE1_AZUL_SCHANG_LATE_FFUNG22,DK7272TRE,CHECK,97.75,0,0,,,,,,,,,,,,,,
