FIELD_Country,FIELD_field_latitude,FIELD_field_longitude,FIELD_name,FIELD_County,FIELD_plantingSeason,FIELD_pipeline,FIELD_year,commercialName,createdBrand,createdTechnology,OBS_observationRefCd,OBS_descriptorAbbreviation,OBS_numValue,REP_repetitionNumber,QC_Flag,OBS_growthStage,protocolTitle,SETS_setName
Argentina,-26.539865,-60.650689,CSALO9_AVIATERAY_DONSANTIAGO_FFUNG22_FAMB22,Independencia,2022,North,2023,NS7818VIP3,NIDERA,,YLD,N/A,65.061102,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNNORTEA2
Argentina,-23.36341,-64.053705,SRUIZ_PICHANAL_ROBERTOCHA_FFUNG22,Oran,2022,North,2023,DK7220VTPRO4,DEKALB,PRO4,LDSR,SETOTU,0,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNNORTE
Argentina,-25.979988842961,-65.080862991629,SRUIZ_MOGOTE_ESPEJO_FFUNG22,Rosario de la Frontera,2022,North,2022,DK7220VTPRO4,DEKALB,PRO4,LDSR,PUCCSO,1,1,,30DAA,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNNORFUNG
Argentina,-33.122319,-63.076649,DBORE_PASCANAS_BERTODO_EARLY_FFUNG22,Union,2022,South,2022,DK7210VT3P,DEKALB,,LDSR,PUCCSO,0,1,,30DAA,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNTEMFUNG
Argentina,-36.1538758,-62.5857026,GLNQJ_TRENQUELAUQUEN_YARZA_LATE_FFUNG22,Trenque Lauquen,2022,South,2022,LT721PRO4,,,YLD,N/A,114.08,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNTEMPL
Argentina,-34.011230642844,-60.789110091006,GFKVN_PINZON_TESTA_EARLY_FFUNG22,Pergamino,2022,South,2022,DK7270TRE,,,YLD,N/A,94.22,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNTEMPA1
Argentina,-26.539865,-60.650689,CSALO9_AVIATERAY_DONSANTIAGO_FFUNG22_FAMB22,Independencia,2022,North,2023,P2089VYHR,PIONEER,VYHR,YLD,N/A,82.752276,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNNORTEA2
Argentina,-32.74015408,-62.53816159,DBORE_SANMARCOS_GHIGLIONE_EARLY_FFUNG22,Union,2022,South,2022,AX7039MQK1,,,YLD,N/A,43.91,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNTEMPL
Argentina,-34.011230642844,-60.789110091006,GFKVN_PINZON_TESTA_EARLY_FFUNG22,Pergamino,2022,South,2022,DK7210VT3P,DEKALB,,LDSR,PUCCSO,0,1,,R4,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNTEMPA1
Argentina,-23.36341,-64.053705,SRUIZ_PICHANAL_ROBERTOCHA_FFUNG22,Oran,2022,North,2023,DK7210VT3P,DEKALB,,YLD,N/A,48.228333,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNNORTE
Argentina,-37.204900210336,-59.285430026733,RLOPE1_TANDIL_HEER_EARLY_FFUNG22,Tandil,2022,South,2022,LT344VT3P,LA TIJERETA,VT3P,YLD,N/A,107.82,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNTEMPL
Argentina,-32.74015408,-62.53816159,DBORE_SANMARCOS_GHIGLIONE_EARLY_FFUNG22,Union,2022,South,2022,DK7210PRO4,,,YLD,N/A,45.24,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNTEMPL
Argentina,-32.74015408,-62.53816159,DBORE_SANMARCOS_GHIGLIONE_EARLY_FFUNG22,Union,2022,South,2022,DK7272TRE,,,YLD,N/A,66.47574,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNTEMFUNG
Argentina,-25.979988842961,-65.080862991629,SRUIZ_MOGOTE_ESPEJO_FFUNG22,Rosario de la Frontera,2022,North,2022,DK7220VTPRO4,DEKALB,PRO4,LDSR,PUCCSO,1,1,,Application A,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNNORTE
Argentina,-25.979988842961,-65.080862991629,SRUIZ_MOGOTE_ESPEJO_FFUNG22,Rosario de la Frontera,2022,North,2022,P2089VYHR,PIONEER,VYHR,LDSR,PUCCSO,1,1,,30DAA,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNNORFUNG
Argentina,-33.038281601986,-63.6784169272,GGBLAN_BENGOLEA_ELORZA_LATE_GEO_FUNG22,Juarez Celman,2022,South,2022,AX7289MQK1,,,YLD,N/A,89.13,1,,Not Applicable,ARG 22 SM COM CORN GERM GEO FTN,GEOFTNTBP
Argentina,-33.038281601986,-63.6784169272,GGBLAN_BENGOLEA_ELORZA_LATE_GEO_FUNG22,Juarez Celman,2022,South,2022,DK7220VTPRO4,DEKALB,PRO4,YLD,N/A,88.98,1,,Not Applicable,ARG 22 SM COM CORN GERM GEO FTN,GEOFTNTAP
Argentina,-25.979988842961,-65.080862991629,SRUIZ_MOGOTE_ESPEJO_FFUNG22,Rosario de la Frontera,2022,North,2022,DK7210VT3P,DEKALB,,LDSR,PUCCSO,0,1,,R5,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNNORTE
Argentina,-37.204900210336,-59.285430026733,RLOPE1_TANDIL_HEER_EARLY_FFUNG22,Tandil,2022,South,2022,DK7210RR2,DEKALB,,YLD,N/A,118.75,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNTEMPL
Argentina,-33.038281601986,-63.6784169272,GGBLAN_BENGOLEA_ELORZA_LATE_GEO_FUNG22,Juarez Celman,2022,South,2022,DK7208TRE,,,YLD,N/A,90.52,1,,Not Applicable,ARG 22 SM COM CORN GERM GEO FTN,GEOFTNTBP
Argentina,-26.2859435,-60.3823609,CSALO9_TRESISLETAS_MATESA_FFUNG22,Maipu,2022,North,2023,LT785VT3P,,,YLD,N/A,29.00614,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNNORTE
Argentina,-33.122319,-63.076649,DBORE_PASCANAS_BERTODO_EARLY_FFUNG22,Union,2022,South,2022,DK7272TRE,,,LDSR,PUCCSO,0,1,,Application A,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNTEMFUNG
Argentina,-32.50364879,-61.49360871,EEBONA_LASROSAS_ZILIO_EARLY_FFUNG22,Belgrano,2022,South,2022,DK7272TRE,,,LDSR,PUCCSO,0,1,,Application A,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNTEMFUNG
Argentina,-33.038281601986,-63.6784169272,GGBLAN_BENGOLEA_ELORZA_LATE_GEO_FUNG22,Juarez Celman,2022,South,2022,AX7178MQK1,,,YLD,N/A,99.8,1,,Not Applicable,ARG 22 SM COM CORN GERM GEO FTN,GEOFTNTAP
Argentina,-33.978761690924,-61.627261021992,EEBONA_VILLACANAS_FUMISEM_LATE_FFUNG22,General Lopez,2022,South,2022,LT344VT3P,LA TIJERETA,VT3P,YLD,N/A,61.23,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNTEMPL
Argentina,-36.869191030596,-59.913329500802,RLOPE1_AZUL_SCHANG_LATE_FFUNG22,Azul,2022,South,2022,DK7320VTPRO4,DEKALB,PRO4,YLD,N/A,84.44,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNTEMPL
Argentina,-26.2859435,-60.3823609,CSALO9_TRESISLETAS_MATESA_FFUNG22,Maipu,2022,North,2023,DK7210PRO4,,,YLD,N/A,55.037291,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNNORTE
Argentina,-26.539865,-60.650689,CSALO9_AVIATERAY_DONSANTIAGO_FFUNG22_FAMB22,Independencia,2022,North,2023,DK7702TRE,,,YLD,N/A,80.477982,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNNORTEA1
Argentina,-23.36341,-64.053705,SRUIZ_PICHANAL_ROBERTOCHA_FFUNG22,Oran,2022,North,2023,AX7814MQK1,,,YLD,N/A,66.849983,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNNORTE
